day,hour,zone,risk_score,action
1,0,A-greenhouse,0.0,No action
1,0,B-greenhouse,0.008,No action
1,0,C-field,0.002,No action
1,0,D-field,0.001,No action
1,1,A-greenhouse,0.0,No action
1,1,B-greenhouse,0.003,No action
1,1,C-field,0.0,No action
1,1,D-field,0.003,No action
1,2,A-greenhouse,0.017,No action
1,2,B-greenhouse,0.004,No action
1,2,C-field,0.012,No action
1,2,D-field,0.004,No action
1,3,A-greenhouse,0.016,No action
1,3,B-greenhouse,0.009,No action
1,3,C-field,0.008,No action
1,3,D-field,0.004,No action
1,4,A-greenhouse,0.019,No action
1,4,B-greenhouse,0.001,No action
1,4,C-field,0.007,No action
1,4,D-field,0.017,No action
1,5,A-greenhouse,0.017,No action
1,5,B-greenhouse,0.019,No action
1,5,C-field,0.006,No action
1,5,D-field,0.012,No action
1,6,A-greenhouse,0.009,No action
1,6,B-greenhouse,0.008,No action
1,6,C-field,0.02,No action
1,6,D-field,0.011,No action
1,7,A-greenhouse,0.009,No action
1,7,B-greenhouse,0.017,No action
1,7,C-field,0.021,No action
1,7,D-field,0.016,No action
1,8,A-greenhouse,0.022,No action
1,8,B-greenhouse,0.009,No action
1,8,C-field,0.011,No action
1,8,D-field,0.017,No action
1,9,A-greenhouse,0.018,No action
1,9,B-greenhouse,0.008,No action
1,9,C-field,0.013,No action
1,9,D-field,0.011,No action
1,10,A-greenhouse,0.015,No action
1,10,B-greenhouse,0.002,No action
1,10,C-field,0.014,No action
1,10,D-field,0.002,No action
1,11,A-greenhouse,0.016,No action
1,11,B-greenhouse,0.032,No action
1,11,C-field,0.037,No action
1,11,D-field,0.009,No action
1,12,A-greenhouse,0.0,No action
1,12,B-greenhouse,0.041,No action
1,12,C-field,0.034,No action
1,12,D-field,0.045,No action
1,13,A-greenhouse,0.006,No action
1,13,B-greenhouse,0.02,No action
1,13,C-field,0.033,No action
1,13,D-field,0.011,No action
1,14,A-greenhouse,0.0,No action
1,14,B-greenhouse,0.0,No action
1,14,C-field,0.0,No action
1,14,D-field,0.015,No action
1,15,A-greenhouse,0.0,No action
1,15,B-greenhouse,0.0,No action
1,15,C-field,0.0,No action
1,15,D-field,0.001,No action
1,16,A-greenhouse,0.0,No action
1,16,B-greenhouse,0.006,No action
1,16,C-field,0.0,No action
1,16,D-field,0.0,No action
1,17,A-greenhouse,0.0,No action
1,17,B-greenhouse,0.0,No action
1,17,C-field,0.0,No action
1,17,D-field,0.0,No action
1,18,A-greenhouse,0.001,No action
1,18,B-greenhouse,0.0,No action
1,18,C-field,0.0,No action
1,18,D-field,0.0,No action
1,19,A-greenhouse,0.0,No action
1,19,B-greenhouse,0.0,No action
1,19,C-field,0.0,No action
1,19,D-field,0.0,No action
1,20,A-greenhouse,0.0,No action
1,20,B-greenhouse,0.0,No action
1,20,C-field,0.0,No action
1,20,D-field,0.0,No action
1,21,A-greenhouse,0.0,No action
1,21,B-greenhouse,0.002,No action
1,21,C-field,0.0,No action
1,21,D-field,0.0,No action
1,22,A-greenhouse,0.0,No action
1,22,B-greenhouse,0.003,No action
1,22,C-field,0.0,No action
1,22,D-field,0.0,No action
1,23,A-greenhouse,0.007,No action
1,23,B-greenhouse,0.002,No action
1,23,C-field,0.0,No action
1,23,D-field,0.001,No action
2,0,A-greenhouse,0.003,No action
2,0,B-greenhouse,0.005,No action
2,0,C-field,0.007,No action
2,0,D-field,0.0,No action
2,1,A-greenhouse,0.009,No action
2,1,B-greenhouse,0.015,No action
2,1,C-field,0.005,No action
2,1,D-field,0.0,No action
2,2,A-greenhouse,0.013,No action
2,2,B-greenhouse,0.005,No action
2,2,C-field,0.013,No action
2,2,D-field,0.015,No action
2,3,A-greenhouse,0.0,No action
