day,hour,zone,temperature,humidity,soil_moisture,light,leaf_spot_score,true_state,predicted_state,risk_score
1,0,A-greenhouse,14.34,76.57,68.15,0.69,0,healthy,healthy,0.0
1,0,B-greenhouse,14.97,77.11,65.85,1.59,0.031,healthy,healthy,0.008
1,0,C-field,15.13,76.35,67.73,-0.89,0.008,healthy,healthy,0.002
1,0,D-field,15.43,75.67,65.73,1.52,0.006,healthy,healthy,0.001
1,1,A-greenhouse,15.04,76.86,66.91,0.82,0,healthy,healthy,0.0
1,1,B-greenhouse,15.74,77.04,68.01,-0.48,0.012,healthy,healthy,0.003
1,1,C-field,16.25,77.06,66.81,-0.67,0,healthy,healthy,0.0
1,1,D-field,15.39,76.53,64.1,-0.16,0.012,healthy,healthy,0.003
1,2,A-greenhouse,15.74,77.91,66.47,0.82,0.066,healthy,healthy,0.017
1,2,B-greenhouse,15.51,78.31,66.36,0.72,0.015,healthy,healthy,0.004
1,2,C-field,16.28,75.95,64.77,-0.4,0.048,healthy,healthy,0.012
1,2,D-field,17.25,75.94,64.34,-1.68,0.016,healthy,healthy,0.004
1,3,A-greenhouse,16.49,76.65,68.14,-0.08,0.064,healthy,healthy,0.016
1,3,B-greenhouse,17.56,76.93,66.47,-0.33,0.034,healthy,healthy,0.009
1,3,C-field,16.97,77.35,67.5,1.8,0.032,healthy,healthy,0.008
1,3,D-field,18.27,75.31,65.13,-1.1,0.017,healthy,healthy,0.004
1,4,A-greenhouse,19.16,76.87,68.32,1.8,0.075,healthy,healthy,0.019
1,4,B-greenhouse,18.09,75.24,67.88,1.35,0.006,healthy,healthy,0.001
1,4,C-field,19.09,76.1,67.54,0.36,0.026,healthy,healthy,0.007
1,4,D-field,19.47,74.44,63.55,-0.75,0.07,healthy,healthy,0.017
1,5,A-greenhouse,20.31,74.47,69.27,-0.84,0.068,healthy,healthy,0.017
1,5,B-greenhouse,20.15,73.46,68.07,1.28,0.076,healthy,healthy,0.019
1,5,C-field,20.74,73.54,65.21,0.75,0.025,healthy,healthy,0.006
1,5,D-field,20.16,73.23,64.93,-0.69,0.047,healthy,healthy,0.012
1,6,A-greenhouse,21.84,73.97,68.2,20.0,0.038,healthy,healthy,0.009
1,6,B-greenhouse,21.98,72.57,66.74,16.7,0.032,healthy,healthy,0.008
1,6,C-field,22.21,71.83,66.34,17.9,0.081,healthy,healthy,0.02
1,6,D-field,22.81,72.72,63.96,18.07,0.046,healthy,healthy,0.011
1,7,A-greenhouse,23.11,70.5,67.19,35.09,0.034,healthy,healthy,0.009
1,7,B-greenhouse,23.68,70.8,67.05,36.22,0.066,healthy,healthy,0.017
1,7,C-field,24.93,69.34,65.48,38.41,0.085,healthy,healthy,0.021
1,7,D-field,23.87,69.2,65.25,36.75,0.063,healthy,healthy,0.016
1,8,A-greenhouse,25.74,67.81,69.96,53.04,0.09,healthy,healthy,0.022
1,8,B-greenhouse,26.43,66.49,68.05,50.56,0.035,healthy,healthy,0.009
1,8,C-field,26.74,68.1,67.74,53.81,0.043,healthy,healthy,0.011
1,8,D-field,26.56,65.41,67.76,53.14,0.069,healthy,healthy,0.017
1,9,A-greenhouse,27.53,65.5,70.29,66.95,0.073,healthy,healthy,0.018
1,9,B-greenhouse,26.59,63.84,67.93,64.48,0.032,healthy,healthy,0.008
1,9,C-field,27.23,65.02,69.11,66.19,0.053,healthy,healthy,0.013
1,9,D-field,26.91,64.86,67.48,63.74,0.043,healthy,healthy,0.011
1,10,A-greenhouse,28.29,62.28,69.85,75.24,0.059,healthy,healthy,0.015
1,10,B-greenhouse,27.53,61.88,68.39,76.21,0.008,healthy,healthy,0.002
1,10,C-field,28.15,62.44,67.31,74.64,0.057,healthy,healthy,0.014
